Contract Number,Project Number,GSAR,GQAC,Service Contract Reporting,Warranties
,50056,0,0,0,1
25774-CC-FC1-JQ00-00003,50056,0,0,1,1
89303319CEM000041,50056,0,0,1,1
75D30119C05135,50056,0,0,0,1
W912DY-19-C-0022,50056,0,0,0,1
DE-EM0002038 ,50056,0,0,1,0
 DE-EM0002038 ,50056,0,0,0,0
W912P9-14-D-0525,50056,0,0,0,0
W912P9-14-D-0525,50056,0,0,0,0
W91238-14-C-0036,50056,0,0,0,0
N00189-14-D-Z043 DO 0007,50056,0,0,0,0
N00189-18-F-Z142,50056,0,0,1,0
N00189-1 4-D-Z043,50056,0,0,0,0
N00189-14-D-Z043/N0018919FZ103,50056,0,0,1,0
DE-EM0003760,50056,0,0,0,0
,50056,0,0,0,1
DE-0003836/1087-15-502677,50056,0,0,1,0
DE-EM0003836/1087-15-502677,50056,0,0,0,0
DE-EM0003836/89303318FEM400055,50056,0,0,0,0
DE-EM0003836/89303318FEM400053,50056,0,0,0,0
 DE-EM0003836/89303319FEM400070,50056,0,0,1,0
 DE-EM0003836/89303319FEM400074,50056,0,0,1,0
N66001-15-C-0114,50056,0,0,0,0
W912Dy-14-D-0005 0005 ,50056,0,0,0,1
W912DY19F0215,50056,0,0,0,1
HSBP1017C00001,50056,0,0,1,0
N00174-17-C-0004,50056,0,0,0,0
DJF-17-1200K-0006320,50056,0,0,0,1
W911S8-18-D-0018,50056,0,0,1,0
W911S8-18-D-0018,50056,0,0,1,0
A16PC00127,50056,0,0,0,0
W911KB-17-C-0013,50056,0,0,1,0
HHSF223201710022C,50056,0,0,0,0
W9123817C0016,50056,0,0,0,0
W911KB17C0044,50056,0,0,0,1
W56ZTN-17-D-0008,50056,0,0,0,0
W56ZTN-17-D-0008,50056,0,0,0,0
N6247318C0201,50056,0,0,1,0
W912DW18C0010,50056,0,0,0,0
70Z08718CPJT93800,50056,0,0,0,1
70Z08718CPJT25800,50056,0,0,0,1
,50056,0,0,0,1
W912P718C0016,50056,0,0,0,0
140R4018C0019,50056,0,0,0,0
W911KB18C0044,50056,0,0,0,1
W912PP18C0038,50056,0,0,0,1
W911KB-17-D-0018,50056,0,0,0,1
SU04-002-S01,50056,0,0,0,1
HHSF223201910094P,50056,0,0,0,0
W9124C119C0010,50056,0,0,1,0
 DE-AC06-05RL14655 ,50056,0,0,0,0
194927,50056,0,0,0,0
67326,50056,0,0,0,0
75N98019D00030,50056,0,0,0,0
75N98019D00030,50056,0,0,0,0
N0018919PZ107,50056,0,0,1,0
N6600119C0021,50056,0,0,1,0
G024-POR,50056,0,0,1,0
W912P4-15-D-00006,50056,0,0,0,0
W912P4-15-D-00006,50056,0,0,0,0
W912P4-15-D-00006 ,50056,0,0,1,0
W912P4-15-D-00006 ,50056,0,0,0,0
89303218FEM400002,50056,0,0,0,0
DE-EM0004007,50056,0,0,1,0
I2DH-9-00021,50056,0,0,1,0
I2DH-9-00021,50056,0,0,1,0
I2DH-9-00021,50056,0,0,1,0
I2DH-9-00021,50056,0,0,1,0
DE-EM0000842/DE-DT0011049,50056,0,0,1,0
GS00F262CA,50056,1,0,0,0
FA8903-16-D-0045,50056,0,0,0,0
W911KB19F0083,50056,0,0,0,1
 W911KB19F0083,50056,0,0,0,1
072382-17-B-0024,50056,0,0,0,1
072382-17-B-0024-001.00,50056,0,0,0,1
072382-17-B-0024-002.00,50056,0,0,0,1
n/a,50056,0,0,0,0
W911KB-17-D-0009,50056,0,0,1,1
W911KB17D0009W911KB18F0063,50056,0,0,1,1
W911KB-17-D-0009-W911KB18F0149,50056,0,0,1,1
W911KB-17-D-0009-W911KB18F0150,50056,0,0,1,1
16-13,50056,0,0,0,1
17-0153,50056,0,0,0,1
18-0023,50056,0,0,0,1
17-0135,50056,0,0,0,1
17-0060,50056,0,0,0,1
16-0142,50056,0,0,0,1
17-0111,50056,0,0,0,1
17-0131,50056,0,0,0,1
16-0069,50056,0,0,0,1
17-0004,50056,0,0,0,1
18-0003,50056,0,0,0,1
18-0052,50056,0,0,0,1
Aug-58,50056,0,0,0,1
18-0046,50056,0,0,0,1
17-0118,50056,0,0,0,1
18-0067,50056,0,0,0,1
17-0155,50056,0,0,0,1
18-0047,50056,0,0,0,1
18-0049,50056,0,0,0,1
18-0005,50056,0,0,0,1
17-0154,50056,0,0,0,1
18-0065,50056,0,0,0,1
18-0073,50056,0,0,0,1
18-0102 ,50056,0,0,0,1
18-0030,50056,0,0,0,1
PO525028,50056,0,0,0,1
18-0117,50056,0,0,0,1
18-0120,50056,0,0,0,1
14-0094,50056,0,0,0,1
18-0130,50056,0,0,0,1
18-0083,50056,0,0,0,1
17-0010,50056,0,0,0,1
18-0094,50056,0,0,0,1
19-0002,50056,0,0,0,1
18-0104,50056,0,0,0,1
19-0004,50056,0,0,0,1
19-0023,50056,0,0,0,1
19-0019,50056,0,0,0,1
19-0032,50056,0,0,0,1
18-0138,50056,0,0,0,1
18-0125,50056,0,0,0,1
18-0040-04,50056,0,0,0,1
18-0142,50056,0,0,0,1
19-0039,50056,0,0,0,1
19..0036,50056,0,0,0,1
18-0024-3,50056,0,0,0,1
18-0141,50056,0,0,0,1
18-0145,50056,0,0,0,1
18-0143,50056,0,0,0,1
19-0048,50056,0,0,0,1
19-0080,50056,0,0,0,1
18-0040-6,50056,0,0,0,1
18-0041,50056,0,0,0,1
19-0047,50056,0,0,0,1
19-0090,50056,0,0,0,1
19-0109,50056,0,0,0,1
19-0106,50056,0,0,0,1
19-0125,50056,0,0,0,1
,50056,0,0,0,1
FA4621-17-D-0004,50056,0,0,0,1
70Z08718DPJT24500,50056,0,0,1,1
70Z08719FPJT56900,50056,0,0,1,1
W912D0-12-D-0007,50056,0,0,0,1
,50056,0,0,0,1
W912D0-12-D-0007-0107,50056,0,0,0,1
W912D0-12-D-0007-0095,50056,0,0,0,1
ID08120089,50056,0,0,0,1
FA5000-15-D-0007-FA500017F0150,50056,0,0,0,0
FA5000-15-D-0007-FA500017F0136,50056,0,0,0,0
FA5000-15-D-0007-FA500018F0004,50056,0,0,0,0
