PSCGuid,CodeDescription,Code,Level1,Level1Category,Level2,Level2Category
{4E9511C2-E230-4E22-A0EC-C4EE7085B8B6},Z2NE (REPAIR OR ALTERATION OF WATER SUPPLY FACILITIES),Z2NE,4,Facilities & Construction,4.4,Facility Related Services
{CF086D9A-EF50-4BC1-8185-C5130BD57A77},Z2NZ (REPAIR OR ALTERATION OF OTHER UTILITIES),Z2NZ,4,Facilities & Construction,4.4,Facility Related Services
{2B9BA398-7087-4265-BE65-C516BDB50855},Z2PA (REPAIR OR ALTERATION OF RECREATION FACILITIES (NON-BUILDING)),Z2PA,4,Facilities & Construction,4.4,Facility Related Services
{5A2A6F8C-3E2C-4BDD-91E0-C523718AE44A},Z2PB (REPAIR OR ALTERATION OF EXHIBIT DESIGN (NON-BUILDING)),Z2PB,4,Facilities & Construction,4.4,Facility Related Services
{405E1ED1-0CD6-43A2-B5E4-C547CF2B8898},Z2PC (REPAIR OR ALTERATION OF UNIMPROVED REAL PROPERTY (LAND)),Z2PC,4,Facilities & Construction,4.4,Facility Related Services
{677FD88A-F757-4404-9123-C5532C72F78A},Z2PD (REPAIR OR ALTERATION OF WASTE TREATMENT AND STORAGE FACILITIES),Z2PD,4,Facilities & Construction,4.4,Facility Related Services
{89C031BA-B37C-41D5-B803-C579898F7D37},Z2PZ (REPAIR OR ALTERATION OF OTHER NON-BUILDING FACILITIES),Z2PZ,4,Facilities & Construction,4.4,Facility Related Services
{E542098D-2C60-40A1-B3EF-C597E8D41FBA},Z2QA (REPAIR OR ALTERATION OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE)),Z2QA,4,Facilities & Construction,4.4,Facility Related Services
{A41D83EC-DE6D-41EB-919E-C5C3F8FD1CD1},"1005 (GUNS, THROUGH 30MM)",1005,12,Weapons & Ammunition,12.4,Guns
{708065E8-39C5-4110-B86F-C5CC45789217},"1010 (GUNS, OVER 30MM UP TO 75MM)",1010,12,Weapons & Ammunition,12.4,Guns
{35607BFD-DA52-4E11-8703-C624D13132CC},"1015 (GUNS, 75MM THROUGH 125MM)",1015,12,Weapons & Ammunition,12.4,Guns
{B4DDB9B7-B7A4-4FF3-A4BE-C6280A838076},"1020 (GUNS, OVER 125MM THROUGH 150MM)",1020,12,Weapons & Ammunition,12.4,Guns
{4B77D3FF-5375-4728-82A2-C62C0983961E},"1025 (GUNS, OVER 150MM THROUGH 200MM)",1025,12,Weapons & Ammunition,12.4,Guns
{2F225DAA-65BF-4E34-9958-C6381975F31B},"1030 (GUNS, OVER 200MM THROUGH 300MM)",1030,12,Weapons & Ammunition,12.4,Guns
{4F9C68E2-C1D7-4820-A811-C63BBA40870E},"1035 (GUNS, OVER 300MM)",1035,12,Weapons & Ammunition,12.4,Guns
{7CD1ADFB-0847-47E8-84EA-C684EF7800E5},1040 (CHEMICAL WEAPONS AND EQUIPMENT),1040,12,Weapons & Ammunition,12.6,Weapons
{C03982C9-960C-4833-86D2-C6A1BC62742C},"1045 (LAUNCHERS, TORPEDO AND DEPTH CHARGE)",1045,12,Weapons & Ammunition,12.6,Weapons
